state,Pre_Covid_%,Covid_%,Delta_pp,geo_region,longitude,latitude
Puducherry,1.593,24.28,22.687,South,11.9416,79.8083
Tamil Nadu,2.8365,14.779374999999998,11.942874999999997,South,11.1271,78.6569
Jharkhand,14.279500000000002,22.853125,8.573624999999996,East,23.6102,85.2799
Bihar,13.833000000000002,21.810625,7.977625,East,25.0961,85.3131
Haryana,22.9355,30.41,7.474499999999999,North,29.0588,76.0856
Uttarakhand,5.8015,11.6325,5.831,North,30.0668,79.0193
Goa,8.5075,14.11357142857143,5.606071428571429,West,15.2993,74.124
Karnataka,3.2344999999999997,8.7025,5.468000000000001,South,15.3173,75.7139
Kerala,6.9925,12.45875,5.4662500000000005,South,10.8505,76.2711
Andhra Pradesh,5.0375,10.324375,5.286875,South,15.9129,79.74
Telangana,4.656000000000001,9.88125,5.225249999999999,South,18.1124,79.0193
Rajasthan,12.757,17.758125,5.001125,North,27.0238,74.2179
West Bengal,6.57,11.134375,4.564375,East,22.9868,87.855
Madhya Pradesh,4.741,9.1375,4.3965,West,22.9734,78.6569
Maharashtra,5.37,8.859375,3.489375,West,19.7515,75.7139
Delhi,14.230500000000001,17.69,3.4595000000000002,North,28.7041,77.1025
Odisha,3.4085,6.588125,3.1796249999999997,East,20.9517,85.0985
Sikkim,6.06125,8.853125,2.791875,Northeast,27.533,88.5122
Chhattisgarh,7.7065,9.5975,1.891,West,21.2787,81.8661
Gujarat,5.176,6.586875,1.4108749999999999,West,22.2587,71.1924
Punjab,10.9945,12.27,1.2754999999999992,North,31.1471,75.3412
Meghalaya,4.003,5.02,1.0169999999999995,Northeast,25.467,91.3662
Uttar Pradesh,10.619,11.10125,0.4822500000000005,North,26.8467,80.9462
Assam,6.305,5.09,-1.2149999999999999,Northeast,26.2006,92.9376
Chandigarh,16.325,14.325,-2.0,,,
Himachal Pradesh,19.128999999999998,16.734375,-2.394624999999998,North,31.1048,77.1734
Jammu & Kashmir,16.325555555555557,13.712142857142856,-2.6134126984127004,North,33.7782,76.5762
Tripura,29.009500000000003,22.736250000000002,-6.273250000000001,Northeast,23.9408,91.9882
